ExhaustiveStarScheduler, TercioScheduler, 
10, 63.71429155262423, 63.64150792137367, 
0 74.5832738991731
1 72.43422185903941
2 72.43422185903941
3 74.5832738991731
4 72.43422185903941
5 72.43422185903941
6 74.5832738991731
7 72.43422185903941
8 72.43422185903941
9 72.43422185903941
10, 72.43422185903941, 72.43422185903941, 
0 63.1414735381433
1 62.23784512530652
2 61.82201185519692
3 62.237845125306514
4 61.38346772273192
5 61.38346772273192
6 61.38346772273192
7 61.38346772273192
8 64.1432600439851
9 61.38346772273192
10, 61.38346772273192, 61.38346772273192, 
0 74.41654106544895
1 74.41654106544895
2 79.34576740082245
3 79.34576740082245
4 73.01855419286623
5 79.34576740082245
6 79.34576740082245
7 73.01855419286623
8 79.34576740082245
9 79.34576740082245
10, 73.01855419286623, 73.01855419286623, 
0 64.11413989407355
1 64.48887786094689
2 64.48887786094689
3 58.47101862902204
4 64.74852601328459
5 58.47101862902204
6 64.48887786094689
7 64.74852601328459
8 61.896338249024666
9 64.11413989407355
10, 58.47101862902204, 56.739467509923855, 
0 63.0643661260854
1 63.03898322611009
2 63.03898322611009
3 63.03898322611009
4 63.55270819161123
5 63.03898322611009
6 63.03898322611009
7 63.03898322611009
8 63.03898322611009
9 63.03898322611009
10, 63.03898322611009, 62.96436805105151, 
0 62.84462159228039
1 64.97230034883287
2 63.61518506817258
3 63.13199220101309
4 63.13199220101309
5 62.84462159228039
6 63.0449954556264
7 62.84462159228039
8 64.23077647564145
9 62.84462159228039
10, 62.84462159228039, 62.84462159228039, 
0 61.91933361263041
1 62.12355891766642
2 61.91933361263041
3 67.24734735545799
4 62.32206326720306
5 62.53549946888975
6 65.80984500171468
7 62.12355891766643
8 61.894005956804016
9 61.91933361263041
10, 61.894005956804016, 61.33872415160615, 
0 72.11137974078208
1 72.08581641691897
2 68.53484055742886
3 72.4879592392282
4 71.43255513660716
5 72.08581641691897
6 72.08581641691897
7 82.58680617471639
8 72.08581641691897
9 72.11137974078208
10, 68.53484055742886, 68.53484055742886, 
0 70.55061495594542
1 70.55061495594542
2 70.55061495594542
3 73.45450659365218
4 70.55061495594542
5 70.55061495594542
6 73.45450659365218
7 70.55061495594542
8 73.45450659365218
9 73.45450659365218
10, 70.55061495594542, 65.99765669906215, 
0 63.75804954976702
1 63.29939499959423
