ExhaustiveStarScheduler, TercioScheduler, 
2, 21.805364090049437, 21.805364090049437, 
2, 20.897527534783322, 20.897527534783322, 
2, 20.42511943507902, 20.42511943507902, 
2, 20.262740628167276, 20.262740628167276, 
2, 21.462383052627878, 21.462383052627878, 
2, 21.495587353700955, 21.495587353700955, 
2, 20.116473060374293, 20.116473060374293, 
2, 20.10362268342385, 20.10362268342385, 
2, 21.392889883590907, 21.392889883590907, 
2, 21.074632093732873, 21.074632093732873, 
2, 20.71550330098757, 20.71550330098757, 
2, 21.38117821390134, 21.38117821390134, 
2, 20.23346770382902, 20.23346770382902, 
2, 20.828141997794305, 20.828141997794305, 
2, 20.7488050433916, 20.7488050433916, 
2, 21.748916746438304, 21.748916746438304, 
2, 21.256658007799967, 21.256658007799967, 
2, 21.298078505406544, 21.298078505406544, 
2, 21.34626742399572, 21.34626742399572, 
2, 20.255827581806503, 20.255827581806503, 
2, 21.30618578788653, 21.30618578788653, 
2, 21.176134028827853, 21.176134028827853, 
2, 21.671846568600007, 21.671846568600007, 
2, 20.981899553782945, 20.981899553782945, 
2, 21.081008234926436, 21.081008234926436, 
2, 20.829773574515404, 20.829773574515404, 
2, 20.61464951172063, 20.61464951172063, 
3, 21.37719072920779, 21.37719072920779, 
3, 23.22807457885427, 23.22807457885427, 
3, 31.79079554923947, 31.79079554923947, 
3, 21.109360110775924, 21.109360110775924, 
3, 24.389022162603823, 24.389022162603823, 
3, 20.9790263982868, 20.9790263982868, 
3, 30.721271334288247, 30.721271334288247, 
3, 21.08376977377189, 21.08376977377189, 
3, 32.28944552839579, 32.28944552839579, 
3, 32.14852983874785, 32.14852983874785, 
3, 20.885092248317083, 20.885092248317083, 
3, 30.272053321505325, 30.272053321505325, 
3, 24.04792896476497, 24.04792896476497, 
3, 31.661836528251595, 31.661836528251595, 
3, 32.03050353208564, 32.03050353208564, 
3, 31.05644395243003, 31.05644395243003, 
3, 31.49050502021024, 31.49050502021024, 
3, 30.808923845766497, 30.808923845766497, 
3, 23.355964229446155, 23.355964229446155, 
3, 30.5645579507131, 30.5645579507131, 
3, 31.83780660896705, 31.83780660896705, 
3, 31.105431001643236, 31.105431001643236, 
3, 21.4184959592203, 21.4184959592203, 
3, 21.630922226728345, 21.630922226728345, 
3, 31.591723258327885, 31.591723258327885, 
3, 21.517659952953828, 21.517659952953828, 
3, 22.528250751309557, 22.528250751309557, 
3, 30.693989182944158, 30.693989182944158, 
