MILPScheduler, ExhaustiveStarScheduler, TercioScheduler, 
3, 31.451169984404697, 31.451169984404693, 31.451169984404693, 
3, 21.808353181061424, 21.808353181061424, 21.808353181061424, 
3, 30.97818972096698, 30.97818972096718, 30.97818972096718, 
3, 31.652310040583384, 31.652310040583384, 31.652310040583384, 
3, 30.35371792805123, 30.353717928051374, 30.353717928051374, 
3, 31.493106555915155, 31.493106555915162, 31.493106555915162, 
3, 30.888485058149566, 30.88848505814957, 30.88848505814957, 
3, 22.724562087713664, 22.724562087713757, 22.724562087713757, 
3, 22.241881585312775, 22.241881585312775, 22.241881585312775, 
3, 31.877843517350104, 31.877843517350104, 31.877843517350104, 
3, 30.909981990760052, 30.90998199076016, 30.90998199076016, 
3, 21.86764457708704, 21.867644577087066, 21.867644577087066, 
3, 32.063066821670304, 32.06306682167033, 32.06306682167033, 
3, 25.872721171678254, 25.87272117167833, 25.87272117167833, 
3, 22.216779630402712, 22.2167796304028, 22.2167796304028, 
3, 31.033407777636153, 31.033407777636846, 31.033407777636846, 
3, 31.3300748977711, 31.330074897771105, 31.330074897771105, 
3, 21.10752949008992, 21.10752949008994, 21.10752949008994, 
3, 30.461247462557758, 30.461247462557765, 30.461247462557765, 
3, 21.224110705263662, 21.224110705263662, 21.224110705263662, 
3, 32.35065837764826, 32.35065837764826, 32.35065837764826, 
3, 30.4802928917929, 30.48029289179302, 30.48029289179302, 
3, 31.203622719671078, 31.203622719672065, 31.203622719672065, 
3, 21.105614423101386, 21.105614423101436, 21.105614423101436, 
3, 31.39412653400059, 31.394126534000854, 31.394126534000854, 
3, 31.83236159398249, 31.832361593982714, 31.832361593982714, 
3, 22.749956516299136, 22.749956516299157, 22.749956516299157, 
3, 25.300350009819972, 25.300350009819976, 25.300350009819976, 
3, 21.368208093073385, 21.368208093073385, 21.368208093073385, 
3, 31.391069034079276, 31.391069034079276, 31.391069034079276, 
3, 21.2975537309399, 21.297553730939935, 21.297553730939935, 
3, 25.554227120593225, 25.554227120593225, 25.554227120593225, 
3, 20.71599380822751, 20.71599380822763, 20.71599380822763, 
3, 30.74121433709592, 30.74121433709592, 30.74121433709592, 
3, 30.77407151893009, 30.77407151893009, 30.77407151893009, 
3, 31.375928835186777, 31.375928835186777, 31.375928835186777, 
3, 20.72186080435298, 20.721860804353007, 20.721860804353007, 
3, 31.22450085772868, 31.22450085772867, 31.22450085772867, 
3, 31.468330482497578, 31.468330482497578, 31.468330482497578, 
3, 22.25881775805903, 22.25881775805903, 22.25881775805903, 
3, 21.71352285663151, 21.71352285663155, 21.71352285663155, 
3, 21.623985291771515, 21.623985291771625, 21.623985291771625, 
3, 21.74392406209694, 21.743924062097065, 21.743924062097065, 
3, 32.514804035367845, 32.514804035367845, 32.514804035367845, 
3, 20.543328386099102, 20.543328386099102, 20.543328386099102, 
3, 22.56205917205306, 22.562059172053125, 22.562059172053125, 
3, 21.83512071836354, 21.83512071836354, 21.83512071836354, 
3, 31.92403079447051, 31.92403079447051, 31.92403079447051, 
3, 32.24896057666092, 32.24896057666091, 32.24896057666091, 
3, 31.871270870738506, 31.871270870738506, 31.871270870738506, 
3, 31.107503956739098, 31.107503956739095, 31.107503956739095, 
3, 31.392488273905013, 31.392488273905013, 31.392488273905013, 
3, 21.419472442432824, 21.41947244243292, 21.41947244243292, 
3, 22.915162983318066, 22.915162983318133, 22.915162983318133, 
3, 30.392719378058523, 30.392719378058516, 30.392719378058516, 
3, 20.573677541452316, 20.573677541452316, 20.573677541452316, 
3, 31.549018701964375, 31.54901870196437, 31.54901870196437, 
3, 21.0623430769044, 21.0623430769044, 21.0623430769044, 
3, 31.732013083109116, 31.732013083109113, 31.732013083109113, 
3, 20.83446519688784, 20.834465196887894, 20.834465196887894, 
3, 32.00386676398884, 32.00386676398895, 32.00386676398895, 
3, 31.584204737076927, 31.584204737076927, 31.584204737076927, 
3, 24.28230466687681, 24.282304666876836, 24.282304666876836, 
3, 31.82690100808891, 31.826901008088996, 31.826901008088996, 
3, 31.65990470435026, 31.659904704350268, 31.659904704350268, 
4, 42.557965625630985, 42.557965625630985, 42.557965625630985, 
4, 41.392076911615, 41.39207691161514, 42.735715910098335, 
4, 41.63927140251839, 41.63927140251862, 42.02534026270512, 
4, 42.15263710324497, 42.15263710324496, 44.952132930180454, 
4, 40.83226629938657, 40.832266299386866, 42.45594932282056, 
4, 41.94551555482019, 41.945515554820176, 44.26596966728462, 
4, 41.06119796040534, 41.061197960405345, 44.16653264640219, 
4, 41.37533718505624, 41.375337185061966, 41.67847339855239, 
4, 41.630993537246354, 41.630993537246816, 43.47602078346788, 
4, 42.298020692787965, 42.29802069278835, 43.26201992244724, 
4, 42.296873649110736, 42.29687364911158, 44.69322943071194, 
4, 41.66741028363144, 41.66741028363245, 46.26149042048138, 
4, 41.81752791188289, 41.817527911882905, 43.109726453543786, 
4, 33.28620899235796, 33.28620899235796, 33.68981472068793, 
4, 41.82979660149825, 41.8297966014987, 42.24958231277467, 
4, 41.13674156430984, 41.13674156431068, 41.34120427384474, 
4, 42.32024686583037, 42.320246865830384, 44.35194049838887, 
4, 41.15399240166428, 41.15399240166434, 41.20097464581414, 
4, 42.099987786868326, 42.09998778687448, 42.77483028404363, 
4, 42.02856971000342, 42.028569710003424, 43.135985221803224, 
4, 33.32095996192154, 33.32095996192177, 33.99215240041821, 
4, 42.47356432399426, 42.47356432399506, 42.48554443591437, 
4, 42.68880713163354, 42.68880713163354, 43.78959154128213, 
4, 41.925975291550486, 41.92597529155051, 43.65477620824898, 
4, 42.42644978581892, 42.42644978581892, 43.63502922622441, 
4, 41.60051283940926, 41.600512839409454, 41.600512839409454, 
4, 41.35150399172203, 41.35150399172305, 41.35150399172305, 
MILP: 31.423461030442283 Buffered: 41.59056911825037
4, 31.423461030442283, 31.423461030442283, 33.91821915024022, 
4, 33.77348205941652, 33.77348205941652, 34.64525477462516, 
4, 42.0373960704251, 42.0373960704251, 44.40587661229344, 
4, 42.30170833525841, 42.30170833525979, 44.748605932861125, 
4, 41.125603585631445, 41.125603585631836, 41.50118206312904, 
4, 41.131872361089236, 41.131872361089236, 42.831366641884216, 
4, 33.51598328222405, 33.51598328222405, 33.641726488914344, 
4, 40.23682783691674, 40.23682783691678, 42.870244941451574, 
4, 41.75674533714873, 41.756745337148516, 42.80546660737028, 
