MILPScheduler, ExhaustiveStarScheduler, TercioScheduler, 
4, 2.8695743197029135, 2.8695743197029135, 2.8695743197029135, 
4, 3.67012112413797, 3.67012112413797, 3.67012112413797, 
4, 7.283225594920539, 7.283225594920539, 7.283225594920539, 
4, 3.5914916814728755, 3.591491681472877, 3.591491681472877, 
4, 6.16298372959155, 6.162983729591591, 6.162983729591591, 
4, 2.588250084258399, 2.588250084258401, 2.588250084258401, 
4, 2.433302293190102, 2.4333022931901036, 2.4333022931901036, 
4, 2.8665505135210156, 2.8665505135210156, 2.8665505135210156, 
5, 3.7288299282507076, 3.7288299282507102, 3.7288299282507102, 
5, 7.2262683595964665, 7.226268359596469, 7.226268359596469, 
5, 8.805591182074302, 8.805591182074366, 8.805591182074366, 
MILP: 3.9101293661891288 Buffered: 4.726314836720942
5, 3.9101293661891288, 3.9101293661891288, 3.9101293661891288, 
5, 8.937639667757951, 8.937639667757972, 8.937639667757972, 
5, 5.023133214729478, 5.023133214729478, 5.023133214729478, 
5, 4.827006422213541, 4.827006422213544, 4.827006422213544, 
5, 2.857634787440496, 2.857634787440502, 2.857634787440502, 
5, 3.517350682728494, 3.5173506827285066, 3.5173506827285066, 
5, 4.525462649815039, 4.889712994321576, 4.525462649815276, 
5, 5.446318076695213, 5.446318076695243, 5.446318076695243, 
5, 6.1191447808649455, 6.1191447808649615, 6.1191447808649615, 
5, 5.177861862305842, 5.177861862307452, 6.562873507860024, 
5, 5.5885359635752625, 5.5885359635752945, 5.5885359635752945, 
5, 7.8889028356193105, 7.8889028356193105, 7.8889028356193105, 
5, 4.7631453766471346, 4.7631453766472, 4.7631453766472, 
5, 8.083844449898415, 8.083844449898413, 8.083844449898413, 
5, 4.988286303716077, 4.988286303716136, 4.988286303716136, 
5, 3.939229261897141, 3.939229261897165, 3.939229261897165, 
5, 3.5711184083627976, 3.571118408362816, 3.571118408362816, 
5, 4.844298902564757, 4.844298902564788, 4.844298902564788, 
5, 2.4015051825390104, 2.4015051825419693, 2.4015051825419693, 
5, 3.7364219025998953, 3.736421902599897, 3.736421902599897, 
5, 7.423328090967854, 7.423328090967991, 7.423328090967991, 
5, 6.2391312549157565, 6.239131254915831, 6.239131254915831, 
5, 9.51325384533267, 9.513253845332702, 9.513253845332702, 
5, 5.372077615849306, 5.372077615849312, 5.372077615849312, 
5, 8.181178019165596, 8.181178019165644, 8.181178019165644, 
5, 3.8214600883968037, 3.8214600883968037, 3.8214600883968037, 
5, 5.684211183703515, 5.684211183703586, 5.684211183703586, 
5, 6.88445402653346, 6.88445402653346, 6.88445402653346, 
5, 11.065410584393902, 11.065410584393902, 11.065410584393902, 
5, 5.787489302837583, 5.787489302837638, 5.787489302837638, 
5, 3.1146906670401435, 3.1146906670412244, 3.1146906670412244, 
5, 3.897620017362672, 3.8976200173626947, 3.8976200173626947, 
5, 4.483173519536346, 4.483173519536368, 4.483173519536368, 
MILP: 8.22067009907316 Buffered: 9.894993549048742
5, 8.22067009907316, 8.220670099073171, 8.220670099073171, 
5, 8.778682118351048, 8.778682118351048, 8.778682118351048, 
5, 6.975559447017572, 6.975559447017608, 6.975559447017608, 
5, 8.218696776667871, 8.218696776667963, 8.218696776667963, 
5, 3.0320110828631868, 3.0320110828631868, 3.0320110828631868, 
5, 7.410107651786044, 7.410107651786044, 7.410107651786044, 
5, 2.9474410896632275, 2.9474410896632275, 2.9474410896632275, 
5, 8.496580740626964, 8.496580740626934, 8.496580740626934, 
5, 4.5053700210828715, 4.505370021082892, 4.505370021082892, 
5, 4.203985407274274, 4.2039854072742795, 4.2039854072742795, 
5, 2.9185525842724926, 2.9185525842724926, 2.9185525842724926, 
5, 3.6846449625707853, 3.6846449625708413, 3.6846449625708413, 
5, 4.886106816952897, 4.886106816952929, 4.886106816952929, 
5, 6.292474890664044, 6.292474890664045, 6.292474890664045, 
5, 3.567024775337413, 3.5670247753385538, 3.5670247753385538, 
5, 4.485029212155074, 4.485029212155105, 4.485029212155105, 
5, 3.270101526882776, 3.2701015268834346, 4.14535377261448, 
5, 3.676857319429062, 3.6768573198967616, 3.6768573198967616, 
5, 2.49273431269563, 2.4927343126956334, 2.4927343126956334, 
