ExhaustiveStarScheduler, TercioScheduler, 
3, 31.208033623642475, 31.208033623642475, 
3, 24.085009696510845, 24.085009696510845, 
3, 23.695403305549362, 23.695403305549362, 
3, 23.454789403606227, 23.454789403606227, 
3, 30.729104137615884, 30.729104137615884, 
3, 21.65130233675447, 21.65130233675447, 
3, 21.734849975040817, 21.734849975040817, 
3, 31.803470057401086, 31.803470057401086, 
3, 26.002242055972253, 26.002242055972253, 
3, 32.09247946740385, 32.09247946740385, 
3, 21.757818699474207, 21.757818699474207, 
3, 31.338596716308686, 31.338596716308686, 
3, 22.2092762129494, 22.2092762129494, 
3, 27.674883358560386, 27.674883358560386, 
4, 35.78593724881303, 35.78593724881303, 
4, 41.98257182547448, 41.98257182547448, 
4, 32.40443043005824, 32.40443043005824, 
4, 31.43067427599084, 31.43067427599084, 
4, 32.2064820564923, 32.2064820564923, 
4, 34.10758604868897, 34.10758604868897, 
4, 25.092251765090133, 25.092251765090133, 
4, 31.337497442327518, 31.337497442327518, 
4, 30.881717512046933, 30.881717512046933, 
4, 22.142284066941443, 22.142284066941443, 
4, 31.39538597341387, 31.39538597341387, 
4, 31.666923503020794, 31.666923503020794, 
4, 36.289382003525745, 36.289382003525745, 
4, 31.131257258639216, 31.131257258639216, 
4, 42.138132292339, 42.138132292339, 
4, 31.841859211560216, 31.841859211560216, 
4, 31.73770044329426, 31.73770044329426, 
4, 31.217561767321577, 31.217561767321577, 
4, 41.4413433033596, 41.4413433033596, 
4, 31.076315304982458, 31.076315304982458, 
4, 42.11256956314476, 42.11256956314476, 
4, 27.167575047624208, 27.167575047624208, 
4, 39.4516466719174, 39.4516466719174, 
4, 31.927756421309535, 31.927756421309535, 
4, 30.879856765640888, 30.879856765640888, 
4, 33.79911209220906, 33.79911209220906, 
4, 32.13406471986109, 32.13406471986109, 
4, 31.210456947220365, 31.210456947220365, 
4, 37.06662570359384, 37.06662570359384, 
4, 31.133245403186805, 31.133245403186805, 
4, 31.54416658347501, 31.54416658347501, 
4, 31.886589948464454, 29.82038233900272, 
4, 32.03422392133065, 32.03422392133065, 
4, 30.417089690042143, 30.417089690042143, 
4, 30.574074229784394, 30.574074229784394, 
4, 31.06659288235268, 31.06659288235268, 
4, 31.062169580250966, 31.062169580250966, 
4, 23.64693555160369, 23.64693555160369, 
4, 27.132702509885668, 27.132702509885668, 
4, 36.46891505895947, 36.46891505895947, 
4, 23.685275487528113, 23.685275487528113, 
4, 41.94050268394317, 41.94050268394317, 
4, 31.209902380918173, 31.209902380918173, 
4, 30.859428789616235, 30.859428789616235, 
4, 31.852860596826623, 31.852860596826623, 
4, 42.76590444433509, 42.76590444433509, 
4, 42.36988117622241, 42.36988117622241, 
4, 42.26525995556074, 42.26525995556074, 
4, 30.814577035845915, 30.814577035845915, 
4, 31.4184041778514, 31.4184041778514, 
4, 31.686714551872143, 31.686714551872143, 
4, 31.32490189636311, 31.32490189636311, 
4, 31.480416342833045, 31.480416342833045, 
4, 31.48124939629077, 31.48124939629077, 
4, 31.97358309824468, 31.97358309824468, 
