MILP, Buffered, Tercio
2, 20.844287961435334, 20.84428796143536, 20.84428796143536
2, 20.30502713966104, 20.305027139661064, 20.305027139661064
2, 20.366718653898488, 20.366718653898488, 20.366718653898488
2, 20.286848161449083, 20.286848161449093, 20.286848161449093
2, 20.889661564175217, 20.889661564175256, 20.889661564175256
2, 20.902859707797838, 20.90285970779785, 20.90285970779785
2, 20.730450299987485, 20.730450299987513, 20.730450299987513
2, 20.88831955761033, 20.888319557610384, 20.888319557610384
2, 21.51469188358034, 21.514691883580376, 21.514691883580376
2, 21.382799933021822, 21.382799933021865, 21.382799933021865
2, 21.3666250705719, 21.366625134044845, 21.366625134044845
2, 20.660656827402526, 20.660656827402534, 20.660656827402534
2, 20.83816078582329, 20.83816078582329, 20.83816078582329
2, 20.635788355779017, 20.635788355779017, 20.635788355779017
2, 20.93853545410315, 20.93853545410317, 20.93853545410317
2, 21.129889011838422, 21.12988901183845, 21.12988901183845
2, 21.33055969917327, 21.3305596991733, 21.3305596991733
2, 21.884708925946533, 21.88470892594657, 21.88470892594657
2, 21.225960134674125, 21.225960134674132, 21.225960134674132
2, 20.562686664598793, 20.562686664598793, 20.562686664598793
2, 20.420923045222818, 20.420923045222818, 20.420923045222818
2, 20.95967736749554, 20.959677367495566, 20.959677367495566
2, 20.57227859991464, 20.57227859991464, 20.57227859991464
2, 21.7379637467137, 21.7379637467137, 21.7379637467137
2, 20.88774743369302, 20.887747433693054, 20.887747433693054
2, 21.511136163832944, 21.511136163832944, 21.511136163832944
2, 21.230249730698766, 21.230249730698805, 21.230249730698805
2, 21.067912478813376, 21.067912478813405, 21.067912478813405
2, 21.636276705289916, 21.63627670528996, 21.63627670528996
2, 21.36053228378296, 21.360532359989733, 21.360532359989733
2, 20.24832483836072, 20.248324838360745, 20.248324838360745
2, 21.07926519065536, 21.079265190655384, 21.079265190655384
2, 20.661392362319713, 20.661392362319724, 20.661392362319724
2, 21.460852834230757, 21.460852834230757, 21.460852834230757
2, 20.683538382157415, 20.68353838215745, 20.68353838215745
2, 21.251185010647518, 21.251185010647546, 21.251185010647546
2, 20.510504379283923, 20.510504379283923, 20.510504379283923
2, 20.90190954621818, 20.90190954621818, 20.90190954621818
2, 21.314398381257842, 21.31439838125786, 21.31439838125786
2, 21.002394390339877, 21.002394390339916, 21.002394390339916
2, 21.24644158879152, 21.246441588791544, 21.246441588791544
2, 20.61831506508643, 20.618315065086456, 20.618315065086456
2, 20.36989488778015, 20.36989488778017, 20.36989488778017
2, 21.282875568573374, 21.282875568573424, 21.282875568573424
2, 21.641650117892475, 21.641650117892475, 21.641650117892475
2, 31.722874990261154, 31.722874990261154, 31.722874990261154
3, 21.046395289002664, 21.046395289002696, 21.046395289002696
3, 31.066889836573864, 31.066889836574074, 31.066889836574074
3, 21.35941656742444, 21.359416567424475, 21.359416567424475
3, 30.577099914406652, 30.577099914406652, 30.577099914406652
3, 30.745852514310833, 30.745852514310833, 30.745852514310833
3, 31.04702691409453, 31.04702691409453, 31.04702691409453
3, 21.645051920754568, 21.64505192075468, 21.64505192075468
3, 31.60728646280181, 31.60728646280181, 31.60728646280181
3, 31.314085996748943, 31.31408599674917, 31.31408599674917
3, 22.787750005750752, 22.78775000575083, 22.78775000575083
3, 31.47752828119324, 31.47752828119324, 31.47752828119324
3, 30.652677391381467, 30.652677391381467, 30.652677391381467
3, 24.435319667487473, 24.435319667487565, 24.435319667487565
3, 30.72837623258977, 30.72837623258988, 30.72837623258988
3, 31.563409529764655, 31.563409529764655, 31.563409529764655
3, 22.15643043963373, 22.15643043963383, 22.15643043963383
3, 31.134990743879374, 31.13499074387937, 31.13499074387937
3, 31.0921002176679, 31.092100217667934, 31.092100217667934
3, 20.796813771780744, 20.796813771780798, 20.796813771780798
3, 20.923914397915887, 20.92391439791595, 20.92391439791595
3, 30.694812579697775, 30.694812579697796, 30.694812579697796
3, 22.15912222770726, 22.15912222770732, 22.15912222770732
3, 20.868846933757816, 20.868846933757865, 20.868846933757865
3, 30.82590227116561, 30.82590227116561, 30.82590227116561
3, 30.499540982451215, 30.499540982451222, 30.499540982451222
3, 25.412425239256407, 25.41242523925648, 25.41242523925648
3, 30.575503480089033, 30.575503480089026, 30.575503480089026
3, 31.982235574038764, 31.982235574038764, 31.982235574038764
3, 31.330725896391744, 31.33072589639175, 31.33072589639175
3, 31.15782440491033, 31.157824404910343, 31.157824404910343
3, 31.119030812123526, 31.119030812123526, 31.119030812123526
3, 23.516177146362992, 23.51617714636302, 23.51617714636302
